date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-05-10,-3084152894.5999,-45.9959,20.0000,90.0000,30915100,126.3620,1.8014,33.6334,33.6708,127.1300,-0.7278,48.0704,2.5292,127.9300,129.6386,123.0854,127.3082,124.9172,123.8200,43.0126,-2182313900.0000,126.0580
2019-05-13,-3109712998.5839,-119.8409,10.0000,100.0000,33944900,125.4020,1.5179,35.2854,30.4663,123.3500,-0.8090,43.8474,2.3269,125.5500,129.0100,121.7940,126.7292,124.1100,123.0400,36.8724,-2216258800.0000,125.7038
2019-05-14,-3111103804.0885,-77.4154,0.0000,90.0000,25266300,125.2440,1.2593,39.0997,27.8833,124.7300,-0.8541,42.6107,2.1134,125.8800,128.9292,121.5588,126.1352,123.8700,123.7000,37.4142,-2190992500.0000,125.3704
2019-05-15,-3097734770.2217,-29.1402,0.0000,80.0000,24722700,125.3460,1.0735,36.0778,26.3114,126.0200,-0.8319,45.3917,1.9054,126.7115,129.1464,121.5456,125.5082,124.2600,123.7000,33.9468,-2166269800.0000,125.1685
2019-05-16,-3076903727.7559,114.5145,10.0000,70.0000,30112200,126.0320,1.1143,44.7207,26.8258,128.9300,-0.6329,59.3613,1.7472,129.3800,131.8014,120.2626,125.3852,126.7500,126.4600,62.8011,-2136157600.0000,125.4560
2019-05-17,-3099630467.9134,138.9120,100.0000,60.0000,25770500,126.2200,1.2576,56.8752,27.9049,128.0700,-0.3917,65.4876,1.6493,130.4600,132.4066,120.0334,125.4797,128.3050,127.9200,73.8776,-2161928100.0000,125.9740
2019-05-20,-3111432042.8587,28.6748,90.0000,50.0000,23706900,126.7940,1.2132,67.5562,26.5857,126.2200,-0.3489,54.9267,1.5621,127.5890,131.3198,122.2682,125.4927,126.5200,125.7610,65.9900,-2185635000.0000,126.0733
2019-05-21,-3116389849.7225,46.0597,80.0000,40.0000,15293300,127.2280,1.2371,63.5564,25.3985,126.9000,-0.2599,58.6994,1.4971,127.5270,130.5656,123.8904,125.5897,127.4300,126.5800,50.8017,-2170341700.0000,126.3200
2019-05-22,-3111253735.5374,59.4750,70.0000,30.0000,15396500,127.5580,1.1772,52.8463,24.8719,127.6700,-0.2559,54.2116,1.4331,128.2400,130.3659,124.7501,125.7077,126.6200,126.5293,41.7470,-2154945200.0000,126.3745
2019-05-23,-3091000152.3116,-39.3025,60.0000,20.0000,23603800,127.0080,1.0833,43.4204,22.5897,126.1800,-0.2798,51.9245,1.3631,126.2900,129.2865,124.7295,125.8982,126.2000,124.7400,37.7126,-2178549000.0000,126.3428
2019-05-24,-3099845603.5227,4.7269,50.0000,10.0000,14123400,126.6420,1.0540,38.5596,21.4678,126.2400,-0.2473,55.4545,1.3013,127.4150,128.3791,124.9049,126.0975,126.9100,125.9700,36.2192,-2164425600.0000,126.4459
2019-05-28,-3120364645.5740,0.1855,40.0000,0.0000,23128400,126.6300,1.0247,36.7110,20.9198,126.1600,-0.2213,55.8099,1.2460,128.0000,128.3947,124.8653,126.3845,126.9800,126.0500,36.2011,-2187554000.0000,126.5430
